127.0.0.1 - - [20/Apr/2019:18:38:59 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:15 -0300] "GET /java-jsf-primefaces-basico/ HTTP/1.1" 200 6225
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:15 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:15 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 29458
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:15 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:15 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.js.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:15 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.css.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1?ln=primefaces&v=5.3 HTTP/1.1" 200 71007
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:16 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:38 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:39 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:42 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:43 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:44 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:45 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:46 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [20/Apr/2019:18:39:49 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=C778007C331FFE6E71D24E71157835D1 HTTP/1.1" 200 375
