127.0.0.1 - - [21/May/2019:16:38:17 -0300] "GET / HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:28 -0300] "GET /java-jsf-primefaces-basico/ HTTP/1.1" 200 6225
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:29 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:29 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:29 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.js.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:29 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/primefaces.css.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97?ln=primefaces&v=5.3 HTTP/1.1" 200 71007
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:29 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 29458
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:31 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:31 -0300] "GET /java-jsf-primefaces-basico/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:46 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:47 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:47 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:48 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:49 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:50 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:51 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:51 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:52 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:56 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:57 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:57 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:58 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:58 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:59 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:38:59 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:00 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:01 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:05 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:07 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [21/May/2019:16:39:08 -0300] "POST /java-jsf-primefaces-basico/index.xhtml;jsessionid=A06B9E05BD69038CD7E62848C821FC97 HTTP/1.1" 200 379
